instance_id,instance_type,timestamp,cpu_utilization
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-01T00:00:00Z,10.31
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-01T06:00:00Z,2.33
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-01T12:00:00Z,5.58
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-01T18:00:00Z,4.9
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-02T00:00:00Z,11.57
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-02T06:00:00Z,10.8
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-02T12:00:00Z,13.6
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-02T18:00:00Z,3.13
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-03T00:00:00Z,7.48
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-03T06:00:00Z,2.39
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-03T12:00:00Z,4.84
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-03T18:00:00Z,8.57
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-04T00:00:00Z,2.34
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-04T06:00:00Z,4.58
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-04T12:00:00Z,10.45
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-04T18:00:00Z,9.08
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-05T00:00:00Z,4.87
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-05T06:00:00Z,9.66
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-05T12:00:00Z,12.52
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-05T18:00:00Z,2.08
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-06T00:00:00Z,12.48
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-06T06:00:00Z,11.08
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-06T12:00:00Z,6.42
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-06T18:00:00Z,4.02
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-07T00:00:00Z,14.44
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-07T06:00:00Z,6.38
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-07T12:00:00Z,3.21
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-07T18:00:00Z,3.26
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-08T00:00:00Z,13.02
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-08T06:00:00Z,9.85
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-08T12:00:00Z,12.49
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-08T18:00:00Z,11.49
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-09T00:00:00Z,8.97
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-09T06:00:00Z,14.65
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-09T12:00:00Z,6.92
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-09T18:00:00Z,9.18
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-10T00:00:00Z,12.78
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-10T06:00:00Z,10.04
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-10T12:00:00Z,13.2
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-10T18:00:00Z,9.51
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-11T00:00:00Z,11.16
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-11T06:00:00Z,2.6
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-11T12:00:00Z,4.96
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-11T18:00:00Z,5.76
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-12T00:00:00Z,3.04
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-12T06:00:00Z,5.03
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-12T12:00:00Z,3.31
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-12T18:00:00Z,5.61
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-13T00:00:00Z,10.26
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-13T06:00:00Z,6.74
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-13T12:00:00Z,6.81
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-13T18:00:00Z,4.72
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-14T00:00:00Z,5.47
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-14T06:00:00Z,14.18
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-14T12:00:00Z,10.42
i-0a1b2c3d4e5f60001,t3.xlarge,2026-08-14T18:00:00Z,9.92
i-0a1b2c3d4e5f60002,c5.large,2026-08-01T00:00:00Z,68.94
i-0a1b2c3d4e5f60002,c5.large,2026-08-01T06:00:00Z,81.77
i-0a1b2c3d4e5f60002,c5.large,2026-08-01T12:00:00Z,68.76
i-0a1b2c3d4e5f60002,c5.large,2026-08-01T18:00:00Z,73.73
i-0a1b2c3d4e5f60002,c5.large,2026-08-02T00:00:00Z,87.76
